system,src,tgt
Convert natural language to regular expression.,lines with a capital letter before a lower-case letter followed by a character,([A-Z]).*([a-z].*..*).*
Convert natural language to regular expression.,"lines ending with containing only a capital letter, zero or more times",((.*)([A-Z]))*
Convert natural language to regular expression.,lines containing the string 'dog' and a number,.*(dog)&([0-9]).*
Convert natural language to regular expression.,"lines not having a vowel, a character, or a letter",~(([AEIOUaeiou])|(.)|([A-Za-z]))
Convert natural language to regular expression.,"lines with a capital letter, 5 or more times before a vowel","(([A-Z]){5,}).*([AEIOUaeiou]).*"
Convert natural language to regular expression.,lines with words with ending with containing only the string 'dog',\b(.*)(dog)\b
Convert natural language to regular expression.,"lines having a lower-case letter, a vowel, and a character before a capital letter",(([a-z])&([AEIOUaeiou])&(.)).*([A-Z]).*
Convert natural language to regular expression.,lines with a lower-case letter before a capital letter and a letter,([a-z]).*(([A-Z])&([A-Za-z])).*
Convert natural language to regular expression.,lines starting with a vowel or the string 'dog',(([AEIOUaeiou])|(dog))(.*)
Convert natural language to regular expression.,"lines with words with either a character, a letter, or a capital letter",\b(.)|([A-Za-z])|([A-Z])\b
Convert natural language to regular expression.,"lines with a character or a number, 7 or more times","((.)|([0-9])){7,}"
Convert natural language to regular expression.,lines with words that don't containing a vowel,\b.*~([AEIOUaeiou]).*\b
Convert natural language to regular expression.,lines with a vowel before the string 'dog' and ending with a lower-case letter,(([AEIOUaeiou]).*(dog).*)&((.*)([a-z]))
Convert natural language to regular expression.,"lines with a number before the string 'dog', a vowel, and the string 'truck'",([0-9]).*((dog)&([AEIOUaeiou])&(truck)).*
Convert natural language to regular expression.,lines not having a number and the string 'dog' at least once,(~([0-9]))&((dog)+)
Convert natural language to regular expression.,"lines containing either a letter, a vowel, or the string 'dog'",.*([A-Za-z])|([AEIOUaeiou])|(dog).*
Convert natural language to regular expression.,lines with the string 'dog' or a vowel at least once,((dog)|([AEIOUaeiou]))+
Convert natural language to regular expression.,lines with words with ending with a vowel before a letter,(\b(.*)([AEIOUaeiou])\b).*([A-Za-z]).*
Convert natural language to regular expression.,"lines having a capital letter, a vowel, and a letter before the string 'dog'",(([A-Z])&([AEIOUaeiou])&([A-Za-z])).*(dog).*
Convert natural language to regular expression.,"lines with a lower-case letter, 5 or more times before a number","(([a-z]){5,}).*([0-9]).*"
Convert natural language to regular expression.,lines containing a letter or the string 'dog' at least once,(.*([A-Za-z])|(dog).*)+
Convert natural language to regular expression.,lines starting with not a number or the string 'dog',((~([0-9]))|(dog))(.*)
Convert natural language to regular expression.,"lines with a lower-case letter, 4 or more times before a number","(([a-z]){4,}).*([0-9]).*"
Convert natural language to regular expression.,lines containing the string 'dog' or a letter before the string 'truck',.*((dog)|([A-Za-z])).*(truck).*.*
Convert natural language to regular expression.,"lines with the string 'dog', zero or more times before the string 'truck' or a vowel",((dog)*).*((truck)|([AEIOUaeiou])).*
Convert natural language to regular expression.,"lines starting with the string 'dog', 3 or more times","((dog){3,})(.*)"
Convert natural language to regular expression.,"lines with the string 'dog' before either a vowel, the string 'truck', or the string 'ring'",(dog).*(([AEIOUaeiou])|(truck)|(ring)).*
Convert natural language to regular expression.,lines with words with starting with a vowel at least once,(\b([AEIOUaeiou])(.*)\b)+
Convert natural language to regular expression.,lines with a character before a vowel followed by a number,(.).*([AEIOUaeiou].*[0-9].*).*
Convert natural language to regular expression.,"lines with words with a lower-case letter, zero or more times",\b([a-z])*\b
Convert natural language to regular expression.,"lines having either the string 'dog', a vowel, or a capital letter or the string 'truck' at least once",(((dog)|([AEIOUaeiou])|([A-Z]))|(truck))+
Convert natural language to regular expression.,"lines with the string 'dog' before either a number, a character, or the string 'truck'",(dog).*(([0-9])|(.)|(truck)).*
Convert natural language to regular expression.,lines not containing a letter before the string 'dog',.*~(([A-Za-z]).*(dog).*).*
Convert natural language to regular expression.,"lines with words with a character, a vowel, and a number",\b(.)&([AEIOUaeiou])&([0-9])\b
Convert natural language to regular expression.,"lines with the string 'dog' before either a capital letter, a vowel, or a letter",(dog).*(([A-Z])|([AEIOUaeiou])|([A-Za-z])).*
Convert natural language to regular expression.,"lines containing either a lower-case letter, a character, or the string 'dog', zero or more times",(.*([a-z])|(.)|(dog).*)*
Convert natural language to regular expression.,"lines not starting with a number, 4 or more times","~((([0-9])(.*)){4,})"
Convert natural language to regular expression.,"lines having either the string 'dog', the string 'truck', or the string 'ring' before a lower-case letter",((dog)|(truck)|(ring)).*([a-z]).*
Convert natural language to regular expression.,"lines not having a vowel, a number, or a letter",~(([AEIOUaeiou])|([0-9])|([A-Za-z]))
Convert natural language to regular expression.,"lines containing the string 'dog', 7 or more times or a capital letter",".*((dog){7,})|([A-Z]).*"
Convert natural language to regular expression.,"lines containing either a number, a capital letter, or the string 'dog'",.*([0-9])|([A-Z])|(dog).*
Convert natural language to regular expression.,lines not having a letter and the string 'dog' at least once,(~([A-Za-z]))&((dog)+)
Convert natural language to regular expression.,lines with a character or a capital letter at least once,((.)|([A-Z]))+
Convert natural language to regular expression.,lines with words with starting with a lower-case letter at least once,\b(([a-z])(.*))+\b
Convert natural language to regular expression.,"lines with words that contain only the string 'dog', 3 or more times","(\bdog\b){3,}"
Convert natural language to regular expression.,"lines with a number, 3 or more times before the string 'dog'","(([0-9]){3,}).*(dog).*"
Convert natural language to regular expression.,"lines with a vowel before either the string 'dog', a capital letter, or a number",([AEIOUaeiou]).*((dog)|([A-Z])|([0-9])).*
Convert natural language to regular expression.,lines with a lower-case letter followed by the string 'dog' before a character,([a-z].*dog.*).*(.).*
Convert natural language to regular expression.,lines with a letter or a character before a vowel,(([A-Za-z])|(.)).*([AEIOUaeiou]).*
Convert natural language to regular expression.,lines with a number before containing a character,([0-9]).*(.*..*).*
Convert natural language to regular expression.,"lines ending with a character, 5 or more times","((.*)(.)){5,}"
Convert natural language to regular expression.,lines with a lower-case letter followed by a vowel at least once,([a-z].*[AEIOUaeiou].*)+
Convert natural language to regular expression.,"lines containing a character, a vowel, and the string 'dog'",.*(.)&([AEIOUaeiou])&(dog).*
Convert natural language to regular expression.,"lines ending with the string 'dog', 6 or more times or the string 'truck'","(.*)(((dog){6,})|(truck))"
Convert natural language to regular expression.,lines ending with containing a number at least once,(.*)((.*[0-9].*)+)
Convert natural language to regular expression.,"lines starting with the string 'dog' before the string 'truck', zero or more times",((dog)(.*)).*((truck)*).*
Convert natural language to regular expression.,"lines having a vowel, the string 'dog', and a number before the string 'truck'",(([AEIOUaeiou])&(dog)&([0-9])).*(truck).*
Convert natural language to regular expression.,"lines with words with either a lower-case letter, a letter, or a capital letter",\b([a-z])|([A-Za-z])|([A-Z])\b
Convert natural language to regular expression.,lines ending with a letter or the string 'dog',(.*)(([A-Za-z])|(dog))
Convert natural language to regular expression.,lines containing ending with a lower-case letter,.*(.*)([a-z]).*
Convert natural language to regular expression.,"lines with a number followed by the string 'dog', 5 or more times","([0-9].*dog.*){5,}"
Convert natural language to regular expression.,"lines with a lower-case letter, 5 or more times before a letter","(([a-z]){5,}).*([A-Za-z]).*"
Convert natural language to regular expression.,"lines having either the string 'dog', a lower-case letter, or the string 'truck' before a capital letter",((dog)|([a-z])|(truck)).*([A-Z]).*
Convert natural language to regular expression.,"lines containing the string 'dog', a letter, and the string 'truck'",.*(dog)&([A-Za-z])&(truck).*
Convert natural language to regular expression.,"lines with words with starting with a lower-case letter, 2 or more times","(\b([a-z])(.*)\b){2,}"
Convert natural language to regular expression.,"lines having the string 'dog', the string 'truck', and a character before the string 'ring'",((dog)&(truck)&(.)).*(ring).*
Convert natural language to regular expression.,lines not words with starting with a character,~(\b(.)(.*)\b)
Convert natural language to regular expression.,lines with words with ending with a lower-case letter and the string 'dog',\b((.*)([a-z]))&(dog)\b
Convert natural language to regular expression.,lines with a lower-case letter before a vowel followed by a capital letter,([a-z]).*([AEIOUaeiou].*[A-Z].*).*
Convert natural language to regular expression.,"lines not having the string 'dog', a character, or a letter",~((dog)|(.)|([A-Za-z]))
Convert natural language to regular expression.,"lines containing either a lower-case letter, a letter, or a character",.*([a-z])|([A-Za-z])|(.).*
Convert natural language to regular expression.,"lines with a number before a capital letter or either a lower-case letter, the string 'dog', or the string 'truck'",(([0-9]).*([A-Z]).*)|(([a-z])|(dog)|(truck))
Convert natural language to regular expression.,"lines containing the string 'dog', a lower-case letter, and the string 'truck', zero or more times",(.*(dog)&([a-z])&(truck).*)*
Convert natural language to regular expression.,lines with the string 'dog' at least once and containing a number,((dog)+)&(.*[0-9].*)
Convert natural language to regular expression.,"lines with words with either the string 'dog', the string 'truck', or the string 'ring' or the string 'lake'",\b((dog)|(truck)|(ring))|(lake)\b
Convert natural language to regular expression.,"lines with a letter at least once and the string 'dog', the string 'truck', and a lower-case letter",(([A-Za-z])+)&((dog)&(truck)&([a-z]))
Convert natural language to regular expression.,lines containing the string 'dog' or a number followed by the string 'truck',(.*dog.*)|([0-9].*truck.*)
Convert natural language to regular expression.,"lines with a letter, 4 or more times before a capital letter","(([A-Za-z]){4,}).*([A-Z]).*"
Convert natural language to regular expression.,"lines having a character, a number, and the string 'dog' before a letter",((.)&([0-9])&(dog)).*([A-Za-z]).*
Convert natural language to regular expression.,"lines with words with either a lower-case letter, a vowel, or a number",\b([a-z])|([AEIOUaeiou])|([0-9])\b
Convert natural language to regular expression.,"lines starting with a number, 3 or more times","(([0-9])(.*)){3,}"
Convert natural language to regular expression.,"lines not having the string 'dog', a lower-case letter, or a letter",~((dog)|([a-z])|([A-Za-z]))
Convert natural language to regular expression.,"lines containing the string 'dog', a vowel, and the string 'truck'",.*(dog)&([AEIOUaeiou])&(truck).*
Convert natural language to regular expression.,lines starting with a vowel followed by a letter,([AEIOUaeiou].*[A-Za-z].*)(.*)
Convert natural language to regular expression.,lines with a vowel or the string 'dog' before the string 'truck',(([AEIOUaeiou])|(dog)).*(truck).*
Convert natural language to regular expression.,lines with a capital letter before a character and the string 'dog',([A-Z]).*((.)&(dog)).*
Convert natural language to regular expression.,"lines ending with a letter or a capital letter, 3 or more times","(.*)(([A-Za-z])|(([A-Z]){3,}))"
Convert natural language to regular expression.,lines with a letter before a character followed by the string 'dog',([A-Za-z]).*(..*dog.*).*
Convert natural language to regular expression.,lines ending with a lower-case letter or a letter at least once,((.*)([a-z]))|(([A-Za-z])+)
Convert natural language to regular expression.,"lines containing either a letter, a capital letter, or the string 'dog'",.*([A-Za-z])|([A-Z])|(dog).*
Convert natural language to regular expression.,"lines starting with a capital letter, 6 or more times","(([A-Z]){6,})(.*)"
Convert natural language to regular expression.,lines with a character followed by a letter before a number,(..*[A-Za-z].*).*([0-9]).*
Convert natural language to regular expression.,"lines with a number or a capital letter, 2 or more times","(([0-9])|([A-Z])){2,}"
Convert natural language to regular expression.,"lines not having a character, a vowel, or a capital letter",~((.)|([AEIOUaeiou])|([A-Z]))
Convert natural language to regular expression.,lines containing a capital letter followed by a number,.*[A-Z].*[0-9].*.*
Convert natural language to regular expression.,"lines with a character or a capital letter, zero or more times before the string 'dog'",(((.)|([A-Z]))*).*(dog).*
Convert natural language to regular expression.,"lines with a number or a vowel, 4 or more times","(([0-9])|([AEIOUaeiou])){4,}"
Convert natural language to regular expression.,"lines having the string 'dog', a character, and the string 'truck' before a letter",((dog)&(.)&(truck)).*([A-Za-z]).*
Convert natural language to regular expression.,"lines not containing a letter, 3 or more times",".*~(([A-Za-z]){3,}).*"
Convert natural language to regular expression.,"lines with a character before a vowel, a capital letter, and the string 'dog'",(.).*(([AEIOUaeiou])&([A-Z])&(dog)).*
Convert natural language to regular expression.,lines with a vowel and the string 'dog' before a number,(([AEIOUaeiou])&(dog)).*([0-9]).*
Convert natural language to regular expression.,"lines with a vowel before a number, 5 or more times","([AEIOUaeiou]).*(([0-9]){5,}).*"
Convert natural language to regular expression.,"lines with a lower-case letter, 4 or more times before a character","(([a-z]){4,}).*(.).*"
Convert natural language to regular expression.,"lines with the string 'dog' before a lower-case letter, a vowel, and a capital letter",(dog).*(([a-z])&([AEIOUaeiou])&([A-Z])).*
Convert natural language to regular expression.,lines not having a letter before the string 'dog' followed by a number,(~([A-Za-z])).*(dog.*[0-9].*).*
Convert natural language to regular expression.,lines with a letter followed by the string 'dog' before a number,([A-Za-z].*dog.*).*([0-9]).*
Convert natural language to regular expression.,"lines with words with the string 'dog', zero or more times or the string 'truck'",\b((dog)*)|(truck)\b
Convert natural language to regular expression.,"lines not having a lower-case letter, a number, or the string 'dog'",~(([a-z])|([0-9])|(dog))
Convert natural language to regular expression.,lines with the string 'dog' followed by a vowel before the string 'truck',(dog.*[AEIOUaeiou].*).*(truck).*
Convert natural language to regular expression.,"lines ending with the string 'dog' followed by the string 'truck', zero or more times",((.*)(dog.*truck.*))*
Convert natural language to regular expression.,"lines containing either the string 'dog', a vowel, or a character",.*(dog)|([AEIOUaeiou])|(.).*
Convert natural language to regular expression.,lines with words that contain a lower-case letter or a character,\b.*([a-z])|(.).*\b
Convert natural language to regular expression.,"lines with a number, 5 or more times before a capital letter","(([0-9]){5,}).*([A-Z]).*"
Convert natural language to regular expression.,"lines with a vowel before either the string 'dog', a capital letter, or the string 'truck'",([AEIOUaeiou]).*((dog)|([A-Z])|(truck)).*
Convert natural language to regular expression.,"lines with a lower-case letter or a number, 5 or more times","(([a-z])|([0-9])){5,}"
Convert natural language to regular expression.,lines with a lower-case letter before a vowel or the string 'dog',([a-z]).*(([AEIOUaeiou])|(dog)).*
Convert natural language to regular expression.,"lines having either a character, a capital letter, or a lower-case letter before the string 'dog'",((.)|([A-Z])|([a-z])).*(dog).*
Convert natural language to regular expression.,lines with a vowel followed by the string 'dog' before a character,([AEIOUaeiou].*dog.*).*(.).*
Convert natural language to regular expression.,"lines with a vowel followed by a number, 5 or more times","([AEIOUaeiou].*[0-9].*){5,}"
Convert natural language to regular expression.,"lines starting with a character or a vowel, 7 or more times","((.)|(([AEIOUaeiou]){7,}))(.*)"
Convert natural language to regular expression.,lines not having a capital letter or a number,~(([A-Z])|([0-9]))
Convert natural language to regular expression.,lines containing the string 'dog' before a capital letter,(.*dog.*).*([A-Z]).*
Convert natural language to regular expression.,"lines not having the string 'dog', 2 or more times and not a letter","~(((dog){2,})&([A-Za-z]))"
Convert natural language to regular expression.,lines with a letter before a character or a lower-case letter,([A-Za-z]).*((.)|([a-z])).*
Convert natural language to regular expression.,"lines with the string 'dog' before the string 'truck', a character, and the string 'ring'",(dog).*((truck)&(.)&(ring)).*
Convert natural language to regular expression.,"lines not having a character, a letter, or a number",~((.)|([A-Za-z])|([0-9]))
Convert natural language to regular expression.,"lines not having a letter before the string 'dog', 7 or more times","~(([A-Za-z]).*((dog){7,}).*)"
Convert natural language to regular expression.,lines with a number and the string 'dog' before a capital letter,(([0-9])&(dog)).*([A-Z]).*
Convert natural language to regular expression.,lines with the string 'dog' before a letter or the string 'truck' at least once,(((dog).*([A-Za-z]).*)|(truck))+
Convert natural language to regular expression.,lines containing a vowel followed by the string 'dog' at least once,(.*[AEIOUaeiou].*dog.*.*)+
Convert natural language to regular expression.,lines ending with a vowel followed by a character or a number,(.*)(([AEIOUaeiou].*..*)|([0-9]))
Convert natural language to regular expression.,lines with the string 'dog' before a character at least once,(dog).*((.)+).*
Convert natural language to regular expression.,lines not having a vowel before a number,~(([AEIOUaeiou]).*([0-9]).*)
Convert natural language to regular expression.,lines with words that contain a letter before a number,\b(.*[A-Za-z].*).*([0-9]).*\b
Convert natural language to regular expression.,lines with words with the string 'dog' or a number,\b(dog)|([0-9])\b
Convert natural language to regular expression.,"lines with words with either a character, a vowel, or a letter",\b(.)|([AEIOUaeiou])|([A-Za-z])\b
Convert natural language to regular expression.,lines containing the string 'dog' followed by a vowel at least once,(.*dog.*[AEIOUaeiou].*.*)+
Convert natural language to regular expression.,lines with the string 'dog' and a number before the string 'truck' at least once,((dog)&([0-9])).*((truck)+).*
Convert natural language to regular expression.,lines with the string 'dog' before a letter or a capital letter,(dog).*(([A-Za-z])|([A-Z])).*
Convert natural language to regular expression.,"lines with a letter or a lower-case letter before a vowel, a number, and a character",(([A-Za-z])|([a-z])).*(([AEIOUaeiou])&([0-9])&(.)).*
Convert natural language to regular expression.,"lines with the string 'dog' before either the string 'truck', the string 'ring', or a letter",(dog).*((truck)|(ring)|([A-Za-z])).*
Convert natural language to regular expression.,lines with a character and a vowel before the string 'dog' followed by a lower-case letter,((.)&([AEIOUaeiou])).*(dog.*[a-z].*).*
Convert natural language to regular expression.,lines with a capital letter and a character before a vowel,(([A-Z])&(.)).*([AEIOUaeiou]).*
Convert natural language to regular expression.,lines not having a capital letter and not a character before a letter,~((([A-Z])&(.)).*([A-Za-z]).*)
Convert natural language to regular expression.,lines with a capital letter before the string 'dog' followed by a letter,([A-Z]).*(dog.*[A-Za-z].*).*
Convert natural language to regular expression.,"lines with a lower-case letter followed by a vowel before a capital letter, zero or more times",([a-z].*[AEIOUaeiou].*).*(([A-Z])*).*
Convert natural language to regular expression.,"lines starting with a letter before the string 'dog', a number, and the string 'truck'",(([A-Za-z])(.*)).*((dog)&([0-9])&(truck)).*
Convert natural language to regular expression.,lines with a lower-case letter before containing a number,([a-z]).*(.*[0-9].*).*
Convert natural language to regular expression.,lines ending with a letter or a lower-case letter,(.*)(([A-Za-z])|([a-z]))
Convert natural language to regular expression.,"lines with the string 'dog', zero or more times before a lower-case letter",((dog)*).*([a-z]).*
Convert natural language to regular expression.,"lines with a lower-case letter followed by a character, 3 or more times","([a-z].*..*){3,}"
Convert natural language to regular expression.,lines with the string 'dog' before the string 'truck' and not a lower-case letter,((dog).*(truck).*)&(~([a-z]))
Convert natural language to regular expression.,"lines containing a vowel, zero or more times",(.*[AEIOUaeiou].*)*
Convert natural language to regular expression.,"lines with the string 'dog' before words with a capital letter, 6 or more times","(dog).*(\b([A-Z]){6,}\b).*"
Convert natural language to regular expression.,"lines with a lower-case letter followed by the string 'dog', 6 or more times","([a-z].*dog.*){6,}"
Convert natural language to regular expression.,lines containing a letter before a lower-case letter followed by a capital letter,(.*[A-Za-z].*).*([a-z].*[A-Z].*).*
Convert natural language to regular expression.,"lines with a letter before a lower-case letter, zero or more times",([A-Za-z]).*(([a-z])*).*
Convert natural language to regular expression.,lines with a letter before a number at least once,([A-Za-z]).*(([0-9])+).*
Convert natural language to regular expression.,lines ending with a letter or the string 'dog' and the string 'truck',((.*)([A-Za-z]))|((dog)&(truck))
Convert natural language to regular expression.,"lines with a character before either a lower-case letter, the string 'dog', or a number",(.).*(([a-z])|(dog)|([0-9])).*
Convert natural language to regular expression.,lines not having a vowel and ending with a number,(~([AEIOUaeiou]))&((.*)([0-9]))
Convert natural language to regular expression.,"lines having the string 'dog', a letter, and a capital letter or a lower-case letter at least once",(((dog)&([A-Za-z])&([A-Z]))|([a-z]))+
Convert natural language to regular expression.,lines starting with words with a letter followed by the string 'dog',(\b[A-Za-z].*dog.*\b)(.*)
Convert natural language to regular expression.,"lines with a number before a letter, zero or more times",([0-9]).*(([A-Za-z])*).*
Convert natural language to regular expression.,lines with a letter followed by a lower-case letter at least once,([A-Za-z].*[a-z].*)+
Convert natural language to regular expression.,lines not containing a character followed by a lower-case letter,.*~(..*[a-z].*).*
Convert natural language to regular expression.,"lines with words with a vowel, zero or more times",\b([AEIOUaeiou])*\b
Convert natural language to regular expression.,lines not starting with a lower-case letter or a capital letter,~((([a-z])(.*))|([A-Z]))
Convert natural language to regular expression.,"lines with words that don't have a lower-case letter, zero or more times",\b~(([a-z])*)\b
Convert natural language to regular expression.,"lines not having a capital letter or a vowel, zero or more times",(~([A-Z]))|(([AEIOUaeiou])*)
Convert natural language to regular expression.,lines with a letter before not a lower-case letter,([A-Za-z]).*(~([a-z])).*
Convert natural language to regular expression.,"lines with a lower-case letter followed by a letter, 5 or more times","([a-z].*[A-Za-z].*){5,}"
Convert natural language to regular expression.,"lines not having a letter, a number, or the string 'dog'",~(([A-Za-z])|([0-9])|(dog))
Convert natural language to regular expression.,"lines with a character before a letter, zero or more times",(.).*(([A-Za-z])*).*
Convert natural language to regular expression.,lines not having a character or containing the string 'dog',(~(.))|(.*dog.*)
Convert natural language to regular expression.,"lines having the string 'dog', a lower-case letter, and a capital letter before a number",((dog)&([a-z])&([A-Z])).*([0-9]).*
Convert natural language to regular expression.,"lines with words with a lower-case letter, a letter, and the string 'dog'",\b([a-z])&([A-Za-z])&(dog)\b
Convert natural language to regular expression.,lines with a number followed by a character before a lower-case letter,([0-9].*..*).*([a-z]).*
Convert natural language to regular expression.,"lines with the string 'dog' or the string 'truck', 2 or more times before a character","(((dog)|(truck)){2,}).*(.).*"
Convert natural language to regular expression.,lines with words with ending with a capital letter and a letter,\b((.*)([A-Z]))&([A-Za-z])\b
Convert natural language to regular expression.,lines with the string 'dog' before not a vowel at least once,(dog).*(~(([AEIOUaeiou])+)).*
Convert natural language to regular expression.,lines starting with a capital letter before not a lower-case letter,(([A-Z])(.*)).*(~([a-z])).*
Convert natural language to regular expression.,lines not containing a character,~(.*..*)
Convert natural language to regular expression.,"lines with the string 'dog' before a capital letter, 5 or more times","(dog).*(([A-Z]){5,}).*"
Convert natural language to regular expression.,lines ending with a character before a capital letter or a letter,(.*)(((.).*([A-Z]).*)|([A-Za-z]))
Convert natural language to regular expression.,lines with a vowel followed by a letter before a character,([AEIOUaeiou].*[A-Za-z].*).*(.).*
Convert natural language to regular expression.,"lines with a character followed by a capital letter, 6 or more times","(..*[A-Z].*){6,}"
Convert natural language to regular expression.,"lines having the string 'dog', a number, and a letter before a character",((dog)&([0-9])&([A-Za-z])).*(.).*
Convert natural language to regular expression.,lines not having a number before a vowel at least once,~(([0-9]).*(([AEIOUaeiou])+).*)
Convert natural language to regular expression.,"lines with a number before the string 'dog', the string 'truck', and a character",([0-9]).*((dog)&(truck)&(.)).*
Convert natural language to regular expression.,"lines having either a vowel, a lower-case letter, or a number before the string 'dog'",(([AEIOUaeiou])|([a-z])|([0-9])).*(dog).*
Convert natural language to regular expression.,"lines with a vowel or a number, 2 or more times","(([AEIOUaeiou])|([0-9])){2,}"
Convert natural language to regular expression.,"lines having either a letter, the string 'dog', or the string 'truck' before the string 'ring'",(([A-Za-z])|(dog)|(truck)).*(ring).*
Convert natural language to regular expression.,"lines with words with either the string 'dog', a lower-case letter, or a character",\b(dog)|([a-z])|(.)\b
Convert natural language to regular expression.,"lines not having the string 'dog', a capital letter, or a vowel",~((dog)|([A-Z])|([AEIOUaeiou]))
Convert natural language to regular expression.,lines with the string 'dog' at least once before containing a character,((dog)+).*(.*..*).*
Convert natural language to regular expression.,lines with a character followed by a lower-case letter before ending with the string 'dog',(..*[a-z].*).*((.*)(dog)).*
Convert natural language to regular expression.,"lines not containing a character, 4 or more times","~(.*(.){4,}.*)"
Convert natural language to regular expression.,lines with a character before the string 'dog' or a letter followed by the string 'truck',((.).*(dog).*)|([A-Za-z].*truck.*)
Convert natural language to regular expression.,"lines with words with either a vowel, a number, or a lower-case letter",\b([AEIOUaeiou])|([0-9])|([a-z])\b
Convert natural language to regular expression.,"lines with words with a lower-case letter or either the string 'dog', the string 'truck', or a capital letter",\b([a-z])|((dog)|(truck)|([A-Z]))\b
Convert natural language to regular expression.,lines with a lower-case letter and a vowel before a capital letter,(([a-z])&([AEIOUaeiou])).*([A-Z]).*
Convert natural language to regular expression.,lines containing a character before the string 'dog',(.*..*).*(dog).*
Convert natural language to regular expression.,lines not having a capital letter at least once or a character,~((([A-Z])+)|(.))
Convert natural language to regular expression.,"lines containing a capital letter, 5 or more times","(.*[A-Z].*){5,}"
Convert natural language to regular expression.,lines with words with ending with a number before a lower-case letter,(\b(.*)([0-9])\b).*([a-z]).*
Convert natural language to regular expression.,"lines having either a capital letter, the string 'dog', or the string 'truck' before a letter",(([A-Z])|(dog)|(truck)).*([A-Za-z]).*
Convert natural language to regular expression.,lines starting with a number before a letter followed by the string 'dog',(([0-9])(.*)).*([A-Za-z].*dog.*).*
Convert natural language to regular expression.,"lines with a lower-case letter before either the string 'dog', the string 'truck', or a number",([a-z]).*((dog)|(truck)|([0-9])).*
Convert natural language to regular expression.,lines containing the string 'dog' and not the string 'truck',.*(dog)&(~(truck)).*
Convert natural language to regular expression.,"lines containing either a lower-case letter, the string 'dog', or a number",.*([a-z])|(dog)|([0-9]).*
Convert natural language to regular expression.,"lines having a number, a lower-case letter, and the string 'dog' before the string 'truck'",(([0-9])&([a-z])&(dog)).*(truck).*
Convert natural language to regular expression.,lines starting with words with the string 'dog' before a character,(\b(dog).*(.).*\b)(.*)
Convert natural language to regular expression.,lines with words that contain a character at least once,\b(.*..*)+\b
Convert natural language to regular expression.,"lines with words with ending with a vowel, zero or more times",(\b(.*)([AEIOUaeiou])\b)*
Convert natural language to regular expression.,"lines with a vowel, 3 or more times","([AEIOUaeiou]){3,}"
Convert natural language to regular expression.,"lines containing a vowel followed by the string 'dog', 3 or more times",".*([AEIOUaeiou].*dog.*){3,}.*"
Convert natural language to regular expression.,"lines containing either the string 'dog', the string 'truck', or a number",.*(dog)|(truck)|([0-9]).*
Convert natural language to regular expression.,"lines having a number, a vowel, and a lower-case letter before the string 'dog'",(([0-9])&([AEIOUaeiou])&([a-z])).*(dog).*
Convert natural language to regular expression.,"lines with a letter or a capital letter before either the string 'dog', a vowel, or the string 'truck'",(([A-Za-z])|([A-Z])).*((dog)|([AEIOUaeiou])|(truck)).*
Convert natural language to regular expression.,lines with words with a lower-case letter and the string 'dog',\b([a-z])&(dog)\b
Convert natural language to regular expression.,"lines with the string 'dog' before the string 'truck', a character, and a number",(dog).*((truck)&(.)&([0-9])).*
Convert natural language to regular expression.,lines not starting with a number before a capital letter,~((([0-9])(.*)).*([A-Z]).*)
Convert natural language to regular expression.,lines not having a character before a lower-case letter,~((.).*([a-z]).*)
Convert natural language to regular expression.,lines with a lower-case letter before not a letter,([a-z]).*(~([A-Za-z])).*
Convert natural language to regular expression.,"lines not having the string 'dog', 5 or more times and not a lower-case letter","~(((dog){5,})&([a-z]))"
Convert natural language to regular expression.,"lines with a capital letter followed by a letter, 6 or more times","([A-Z].*[A-Za-z].*){6,}"
Convert natural language to regular expression.,lines with the string 'dog' or a lower-case letter before the string 'truck' and the string 'ring',((dog)|([a-z])).*((truck)&(ring)).*
Convert natural language to regular expression.,lines with words that don't have a lower-case letter followed by a capital letter,\b~([a-z].*[A-Z].*)\b
Convert natural language to regular expression.,lines containing containing only a letter before the string 'dog',.*([A-Za-z]).*(dog).*.*
Convert natural language to regular expression.,"lines with words with either a letter, a capital letter, or a lower-case letter at least once",(\b([A-Za-z])|([A-Z])|([a-z])\b)+
Convert natural language to regular expression.,"lines containing a letter or either the string 'dog', a vowel, or the string 'truck'",(.*[A-Za-z].*)|((dog)|([AEIOUaeiou])|(truck))
Convert natural language to regular expression.,lines starting with words with ending with the string 'dog',(\b(.*)(dog)\b)(.*)
Convert natural language to regular expression.,"lines with the string 'dog', zero or more times before containing a vowel",((dog)*).*(.*[AEIOUaeiou].*).*
Convert natural language to regular expression.,"lines not containing a character, zero or more times",.*~((.)*).*
Convert natural language to regular expression.,lines with a vowel before a letter or a lower-case letter and the string 'dog',(([AEIOUaeiou]).*([A-Za-z]).*)|(([a-z])&(dog))
Convert natural language to regular expression.,"lines not having a character, not a vowel, and not the string 'dog'",~((.)&([AEIOUaeiou])&(dog))
Convert natural language to regular expression.,lines starting with a lower-case letter followed by the string 'dog',([a-z].*dog.*)(.*)
Convert natural language to regular expression.,"lines with the string 'dog' before either a character, a letter, or a number",(dog).*((.)|([A-Za-z])|([0-9])).*
Convert natural language to regular expression.,lines starting with the string 'dog' or the string 'truck' before a capital letter,((dog)(.*))|((truck).*([A-Z]).*)
Convert natural language to regular expression.,"lines not words with a number, zero or more times",~(\b([0-9])*\b)
